,accdate,Operator_ID,AccTypeCodeDescr,AccSubTypeCodeDescr,acctype,BAITFISH Code,AccPreventable,Retraining,vehbusno,vehmake,vehyear,Drv_Age,CoDrvSex,Roadway,RoadwayLightConditions,RoadwayWeather,RoadwaySurface,Addr_Type,Neighborhood,LocAddr1,FileNumber,Longitude,Latitude,SpeedLimitCategory,n_accidents_in_0.003,n_accidents_in_0.006,n_accidents_in_0.0015,n_accidents_in_0.00075,n_accidents_in_0.0005,accday,acctime,acctimeperiod,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accyear,accmonth,accday_
16,2016-05-17 17:07:00,255,20,18,2,8,0,0,738,1,2005,51.0,1,6,2,0,0,0,2,92,527,-77.609055,43.1558791,4,38,198,18,1,0,2016-05-17 00:00:00,17:07,2,43.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,-1.0,43,0.0,0.0,0.0,0.0,0.14,0.0,2016,5,17
17,2016-05-18 08:27:00,173,22,33,2,8,0,0,501,1,2009,40.0,2,5,2,0,0,0,30,342,528,-77.6144497,43.2491999,3,9,29,9,0,0,2016-05-18 00:00:00,08:27,1,44.0,23.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,44,0.57,0.0,0.27,0.0,0.18,0.0,2016,5,18
18,2016-05-19 12:54:00,236,22,33,2,8,0,0,1291,7,2011,56.0,2,4,2,0,0,0,41,52,529,-77.5537746,43.1472309,4,39,121,3,2,0,2016-05-19 00:00:00,12:54,2,45.0,34.0,3.0,-1.0,-1.0,-1.0,25.0,-1.0,45,0.14,0.0,0.23,0.0,0.26,0.0,2016,5,19
19,2016-05-23 13:06:00,24,22,33,2,8,0,0,505,1,2009,63.0,2,5,2,0,0,1,25,750,530,-77.60836909999999,43.18654189999999,4,27,92,19,17,17,2016-05-23 00:00:00,13:06,2,49.0,14.0,35.0,-1.0,-1.0,-1.0,1.0,-1.0,49,0.86,0.0,0.3,0.0,0.24,0.02,2016,5,23
20,2016-05-25 07:50:00,137,22,33,2,8,0,0,763,1,2007,60.0,1,5,2,0,0,0,25,671,531,-77.6556138,43.1646533,4,25,110,19,1,1,2016-05-25 00:00:00,07:50,1,51.0,-1.0,22.0,-1.0,-1.0,8.0,45.0,-1.0,51,0.0,0.0,0.07,0.0,0.15,0.0,2016,5,25
21,2016-05-26 06:20:00,214,18,24,2,8,0,0,916,1,2011,57.0,2,5,2,0,0,0,5,665,532,-77.6576932,43.179211,4,49,51,0,0,0,2016-05-26 00:00:00,06:20,4,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,-1.0,52,0.0,0.0,0.17,0.0,0.17,0.04,2016,5,26
22,2016-05-27 17:32:00,164,22,33,2,14,1,1,1312,7,2012,53.0,2,4,2,0,0,0,24,636,533,-77.642663,43.150066,4,26,49,3,0,0,2016-05-27 00:00:00,17:32,2,53.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53,0.0,0.14,0.0,0.03,0.02,0.02,2016,5,27
23,2016-06-01 17:20:00,237,3,4,2,3,1,1,1325,7,2012,51.0,2,5,2,0,0,0,25,587,535,-77.6088465,43.15657789999999,4,39,190,18,16,15,2016-06-01 00:00:00,17:20,2,58.0,31.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,58,0.0,0.0,0.03,0.0,0.1,0.0,2016,6,1
24,2016-06-01 15:32:00,182,1,2,3,4,1,1,540,1,2009,38.0,2,5,2,0,0,0,25,406,534,-77.6089468,43.1580474,4,65,234,7,1,0,2016-06-01 00:00:00,15:32,2,58.0,10.0,49.0,-1.0,16.0,-1.0,43.0,-1.0,58,0.0,0.0,0.13,0.0,0.15,0.02,2016,6,1
25,2016-06-07 14:24:00,171,22,45,2,3,1,1,372,7,2013,47.0,2,5,2,1,0,0,2,188,536,-77.60435319999999,43.1535976,4,51,184,20,0,0,2016-06-07 00:00:00,14:24,2,64.0,4.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,64,0.14,0.0,0.3,0.0,0.33,0.0,2016,6,7
