,accident_date,operator_id,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accident_type
384,2016-06-09,226,66,1,-1,-1,-1,21,-1,-1,66,0.14,0.0,0.33,0.0,0.67,0.0,1
385,2018-12-06,227,94,2,4,24,230,281,32,-1,976,0.29,0.0,0.13,0.03,0.25,0.02,1
386,2016-09-23,228,17,-1,16,-1,-1,4,40,-1,172,0.14,0.0,0.37,0.0,0.3,0.02,0
387,2017-11-02,228,129,9,24,224,-1,25,81,405,577,0.0,0.0,0.23,0.0,0.62,0.0,0
388,2018-02-28,228,58,12,15,342,-1,143,80,118,695,0.0,0.0,0.17,0.0,0.17,0.0,0
389,2018-12-04,228,92,21,4,621,50,422,114,279,974,0.14,0.0,0.1,0.0,0.08,0.0,0
390,2016-09-28,229,22,-1,57,-1,-1,58,-1,-1,177,0.0,0.0,0.0,0.0,0.05,0.0,1
391,2018-10-08,230,35,45,18,-1,27,558,37,-1,917,0.0,0.0,0.1,0.0,0.18,0.0,1
392,2016-05-19,236,45,34,3,-1,-1,-1,25,-1,45,0.14,0.0,0.23,0.0,0.26,0.0,0
393,2019-01-11,236,4,188,51,69,-1,47,17,967,1012,0.0,0.0,0.03,0.0,0.07,0.0,1
394,2016-06-01,237,58,31,-1,9,-1,-1,-1,-1,58,0.0,0.0,0.03,0.0,0.1,0.0,1
395,2016-12-03,237,88,12,3,194,-1,-1,125,185,243,0.29,0.0,0.23,0.0,0.2,0.0,0
396,2017-01-30,237,28,35,24,252,-1,-1,183,58,301,0.0,0.0,0.03,0.0,0.22,0.0,1
397,2019-05-26,237,55,67,83,97,319,189,53,846,1147,0.0,0.14,0.0,0.1,0.02,0.07,1
398,2016-04-14,238,10,-1,-1,-1,-1,-1,-1,-1,10,0.0,0.0,0.0,0.0,0.0,0.0,0
399,2016-08-15,238,49,-1,114,21,-1,18,22,123,133,0.0,0.0,0.3,0.0,0.28,0.02,1
400,2017-05-20,238,47,7,21,299,-1,31,265,278,411,0.0,0.0,0.33,0.0,0.2,0.0,0
401,2017-09-29,238,25,139,28,115,-1,163,61,132,543,0.0,0.0,0.03,0.0,0.03,0.0,1
402,2018-11-13,238,71,42,4,160,-1,206,79,410,953,0.14,0.0,0.17,0.0,0.22,0.0,1
403,2016-11-27,239,82,49,44,-1,-1,-1,105,-1,237,0.0,0.0,0.0,0.03,0.05,0.02,1
404,2019-03-23,239,75,524,26,290,705,-1,118,846,1083,0.0,0.0,0.1,0.0,0.05,0.0,0
405,2019-04-21,239,20,22,55,319,734,-1,147,29,1112,0.0,0.0,0.03,0.03,0.07,0.02,0
406,2017-07-18,240,22,50,11,42,75,179,86,-1,470,0.0,0.0,0.07,0.0,0.12,0.0,1
407,2017-11-01,240,58,9,19,148,181,285,66,106,576,0.0,0.0,0.07,0.0,0.07,0.0,1
408,2016-06-23,241,80,12,-1,17,-1,22,-1,-1,80,0.0,0.0,0.2,0.0,0.1,0.0,1
409,2018-07-27,241,32,11,7,130,73,49,25,764,844,0.0,0.0,0.27,0.0,0.2,0.0,0
410,2019-06-04,241,64,70,62,442,95,13,23,312,1156,0.0,0.0,0.3,0.0,0.18,0.0,0
411,2016-12-31,242,116,25,36,85,81,-1,41,-1,271,0.0,0.0,0.07,0.0,0.17,0.0,1
412,2018-10-23,242,50,29,4,16,742,-1,9,661,932,0.14,0.0,0.33,0.0,0.32,0.02,0
413,2019-04-26,242,25,14,169,201,927,-1,194,185,1117,0.0,0.0,0.07,0.0,0.08,0.0,0
414,2018-04-13,243,11,42,1,153,608,-1,5,-1,739,0.57,0.0,0.43,0.0,0.37,0.0,1
415,2017-04-26,245,23,130,40,144,-1,-1,31,-1,387,0.0,0.0,0.0,0.0,0.17,0.0,1
416,2018-05-28,245,56,105,83,176,-1,-1,43,397,784,0.0,0.0,0.0,0.0,0.13,0.0,0
417,2019-07-26,245,25,36,94,235,-1,-1,41,424,1208,0.0,0.0,0.0,0.0,0.03,0.0,1
418,2016-07-21,246,24,33,-1,-1,-1,-1,-1,-1,108,0.0,0.29,0.0,0.1,0.03,0.05,0
419,2016-12-09,248,94,-1,14,-1,134,-1,-1,-1,249,0.0,0.0,0.03,0.0,0.02,0.0,0
420,2018-03-02,248,60,218,35,-1,196,292,-1,448,697,0.0,0.0,0.0,0.0,0.2,0.0,1
421,2018-07-12,248,17,106,7,-1,328,424,-1,132,829,0.0,0.0,0.27,0.0,0.13,0.0,1
422,2016-05-12,249,38,4,11,-1,-1,-1,-1,-1,38,0.43,0.0,0.43,0.0,0.36,0.0,0
423,2016-11-09,249,64,16,55,-1,94,2,122,181,219,0.29,0.0,0.13,0.0,0.08,0.0,0
424,2017-01-20,249,18,13,42,46,166,14,194,72,291,0.0,0.0,0.13,0.0,0.17,0.0,0
425,2019-01-11,249,4,23,38,34,472,31,194,721,1012,0.0,0.0,0.1,0.0,0.15,0.0,1
426,2019-05-31,249,60,16,2,36,14,103,40,140,1152,0.14,0.0,0.13,0.0,0.37,0.0,0
427,2018-06-19,251,78,181,48,290,18,1,247,-1,806,0.29,0.0,0.13,0.0,0.1,0.0,0
428,2016-08-12,252,46,2,1,-1,-1,-1,-1,-1,130,0.43,0.0,0.27,0.0,0.33,0.0,1
429,2018-01-27,252,26,15,2,147,-1,7,132,533,663,0.14,0.0,0.17,0.0,0.25,0.0,1
430,2018-05-21,254,49,92,95,282,-1,236,85,-1,777,0.0,0.0,0.0,0.0,0.0,0.0,1
431,2018-12-30,254,118,101,39,505,-1,459,140,223,1000,0.0,0.0,0.0,0.0,0.03,0.0,0
432,2016-05-17,255,43,-1,-1,-1,-1,-1,37,-1,43,0.0,0.0,0.0,0.0,0.14,0.0,0
433,2016-08-10,255,44,-1,82,-1,-1,10,122,85,128,0.0,0.0,0.67,0.0,0.8,0.0,0
434,2017-11-18,256,75,4,1,-1,334,211,104,-1,593,0.29,0.0,0.3,0.0,0.2,0.0,0
435,2018-06-11,261,70,63,10,121,-1,-1,190,-1,798,0.0,0.0,0.07,0.0,0.3,0.0,0
436,2019-07-02,261,1,35,82,142,-1,-1,212,386,1184,0.0,0.0,0.0,0.03,0.05,0.02,1
437,2017-11-02,264,59,79,15,286,125,183,95,-1,577,0.0,0.0,0.03,0.0,0.07,0.0,0
438,2019-07-26,265,25,46,7,240,175,476,278,-1,1208,0.0,0.0,0.1,0.03,0.1,0.02,0
439,2016-08-27,267,61,50,-1,-1,-1,-1,-1,-1,145,0.0,0.0,0.0,0.0,0.02,0.02,0
440,2017-03-04,267,61,78,9,72,-1,-1,125,189,334,0.0,0.0,0.03,0.0,0.02,0.0,0
441,2018-10-01,267,28,12,48,125,105,-1,141,576,910,0.0,0.0,0.03,0.0,0.03,0.0,1
442,2016-09-07,269,1,13,-1,-1,-1,-1,17,-1,156,0.0,0.0,0.27,0.0,0.13,0.03,0
443,2017-11-06,269,63,100,3,131,209,-1,78,425,581,0.14,0.0,0.07,0.0,0.03,0.0,0
444,2017-06-19,270,77,107,350,28,-1,-1,92,-1,441,0.0,0.0,0.03,0.0,0.02,0.0,0
445,2018-01-21,270,20,135,9,206,-1,-1,189,216,657,0.0,0.0,0.07,0.0,0.03,0.0,1
446,2019-05-02,270,31,33,40,345,-1,-1,179,466,1123,0.0,0.14,0.0,0.03,0.05,0.02,1
447,2016-09-17,271,11,127,93,-1,-1,-1,55,-1,166,0.0,0.0,0.0,0.0,0.08,0.0,1
448,2017-10-18,271,44,11,101,341,-1,-1,24,396,562,0.0,0.0,0.37,0.0,0.2,0.0,0
449,2016-10-05,272,29,5,128,-1,-1,149,38,-1,184,0.29,0.0,0.1,0.03,0.17,0.03,0
450,2016-11-10,272,65,25,164,-1,35,7,74,36,220,0.0,0.0,0.07,0.0,0.1,0.02,1
451,2017-01-17,272,15,31,7,65,103,75,142,68,288,0.0,0.0,0.07,0.0,0.12,0.0,0
